stock,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20

ASELS.IS,Open-MA200,Open-RSI200,Close-3,Volume-3,Close-MA50
ARCLK.IS,Close-3,Open-RSI50
AKBNK.IS,Volume-3,Open-RSI50
MGROS.IS,Volume-3,Open-RSI200
